Restaurant Restaurant ID,Restaurant Restaurant Name,Address,Post Code,Full Address,Latitude,Longitude,Weekly orders
242690,El Corte Inglés - (Castellana),"CALLE RAIMUNDO FERNANDEZ VILLAVERDE, 79,",28046,"CALLE RAIMUNDO FERNANDEZ VILLAVERDE, 79, 28046 ",40.4472796,-3.6932485,37
250362,McDonald's - El Pinar de Las Rozas,"Centro Comercial Pinar | Ctra. Nacional VI, Km. 22",28232,"Centro Comercial Pinar | Ctra. Nacional VI, Km. 22 28232 ",40.5235599,-3.8844804,36
250920,McDonald's - Getafe,"Av. Juan Carlos I, s/n, Local 3,",28905,"Av. Juan Carlos I, s/n, Local 3, 28905 ",40.288877,-3.7492663,28
39954,Crepes&Waffles Lunch - Fuencarral,"Calle de Fuencarral, 105",28004,"Calle de Fuencarral, 105 28004 ",40.4284864,-3.7022742,29
42892,Tao 3.6.9 Campo de las Naciones,"Avenida de los Andes, 26",28042,"Avenida de los Andes, 26 28042 ",40.4552682,-3.6198078,34
83979,Dunkin' Coffee - Hortaleza,"Av de la Gran Vía de Hortaleza, Centro Comercial Gran Vía de Hortaleza",28043,"Av de la Gran Vía de Hortaleza, Centro Comercial Gran Vía de Hortaleza 28043 ",40.4695711,-3.6410582,40
162450,Starbucks - Reina Sofía,"Calle Dr. Drumen, 4",28012,"Calle Dr. Drumen, 4 28012 ",40.4091219,-3.6931363,28
173482,Entrepanes (Entrepanes Lira) - BASIC,"Calle Hilarión Eslava, 32,",28015,"Calle Hilarión Eslava, 32, 28015 ",40.435215,-3.7165454,26
179358,Tao 3.6.9 - Encinar,"Calle del Camino del Cura, 10",28109,"Calle del Camino del Cura, 10 28109 ",40.5085575,-3.6451364,34
198945,Out Fry - Editions SOR,"calle sorgo,17,",28039,"calle sorgo,17, 28039 ",40.4663771,-3.7068448,39
206948,Lopez y Lopez - Malasaña,"Calle Loreto y Chicote 3,",28004,"Calle Loreto y Chicote 3, 28004 ",40.4213928,-3.7037546,25
245625,John Barrita At home by La Tasquería,"Calle Duque de Sesto, 48,",28009,"Calle Duque de Sesto, 48, 28009 ",40.4223208,-3.673785,33
253153,McDonald's - Móstoles Fuensanta,"Centro Comercial La Fuensanta, Av. de la Onu, 65,",28936,"Centro Comercial La Fuensanta, Av. de la Onu, 65, 28936 ",40.3160208,-3.8503623,33
253291,McDonald's - Moratalaz,"C/ Manuel Machado, Calle Alcalde Luis Marichalar, 6, y C,",28030,"C/ Manuel Machado, Calle Alcalde Luis Marichalar, 6, y C, 28030 ",40.4115883,-3.6593169,31
6755,La Mafia se Sienta a la Mesa - Castellana,Paseo Castellana 257,28046,Paseo Castellana 257 28046 ,40.4746598,-3.6875834,29
23621,Sumo - Fuencarral,Calle Fuencarral 116,28010,Calle Fuencarral 116 28010 ,40.429776,-3.70246,29
26503,Goiko Grill - Glorieta de Bilbao,"Glorieta de Bilbao, 3",28004,"Glorieta de Bilbao, 3 28004 ",40.4295466,-3.7022065,30
26646,Goiko Grill - Princesa,"Calle de la Princesa, 26",28008,"Calle de la Princesa, 26 28008 ",40.4277238,-3.7139495,32
51269,Dunkin' Coffee - Fuencarral,"Calle de Fuencarral, 43",28004,"Calle de Fuencarral, 43 28004 ",40.4229847,-3.7010569,24
83059,Fridays - La Gavia,"Calle Adolfo Bioy Casares, 37",28031,"Calle Adolfo Bioy Casares, 37 28031 ",40.3688256,-3.5982742,26
97186,Goiko Grill - Galileo,Calle de Galileo 50,28015,Calle de Galileo 50 28015 ,40.4344628,-3.7100559,41
160641,800burritos,"Calle del Conde de Torralba, 11",28046,"Calle del Conde de Torralba, 11 28046 ",40.4784374,-3.6849352,26
173720,Puccias,"Calle de la Libertad, 9, Madrid, Spain",28004,"Calle de la Libertad, 9, Madrid, Spain 28004 ",40.4207185,-3.6976381,33
180712,Papa John's Mostoles 2,Rio Ebro 13,28935,Rio Ebro 13 28935 ,40.313143,-3.8785343,22
183473,Goiko Grill - Basics,"Calle de Hortaleza, 60",28004,"Calle de Hortaleza, 60 28004 ",40.4226578,-3.6993011,33
192522,Tasty Poke - Majadahonda,"Ctra De Boadilla 2 28220 - (Majadahonda) - Madrid,",28220,"Ctra De Boadilla 2 28220 - (Majadahonda) - Madrid, 28220 ",40.467854,-3.870916,39
222555,McDonald's - Alberto Alcocer,Avenida de Alberto Alcocer 37,28016,Avenida de Alberto Alcocer 37 28016 ,40.4588564,-3.6815579,42
241043,Pinsa Pizza - María de Molina,"Calle maria de molina 10,",28006,"Calle maria de molina 10, 28006 ",40.4376932,-3.687819,39
242702,El Corte Inglés - (Pozuelo),"km. 12,500 carretera de La Coruña,",28224,"km. 12,500 carretera de La Coruña, 28224 ",40.4628649,-3.8080078,28
249103,Foster´s Hollywood -Xanadú,"Calle Puerto de Navacerrada, Km. 23, 5,",28939,"Calle Puerto de Navacerrada, Km. 23, 5, 28939 ",40.2996058,-3.9261572,17
254470,El Telégrafo,"Calle de Padre Damián, 44,",28036,"Calle de Padre Damián, 44, 28036 ",40.4595293,-3.6851656,23
262373,Ramen Kagura - Getafe,"Calle Alcalde Jesús Prieto, 3,",28907,"Calle Alcalde Jesús Prieto, 3, 28907 ",40.32807,-3.7305839,38
12928,Vips - Arturo Soria,"Calle de Arturo Soria, 177",28043,"Calle de Arturo Soria, 177 28043 ",40.4576126,-3.6584182,21
26962,Ramen Kagura,Calle de las Fuentes 1 Madrid,28013,Calle de las Fuentes 1 Madrid 28013 ,40.416807,-3.708749,35
40372,Il Profumo,"Calle de Silvano, 47",28043,"Calle de Silvano, 47 28043 ",40.4564549,-3.6452927,22
42890,Tao 3.6.9 Bernabéu,"Calle Profesor Waksman, 13",28036,"Calle Profesor Waksman, 13 28036 ",40.4561291,-3.6872995,37
42891,Tao 3.6.9 Arturo Soria,"Calle Caleruega, 39",28033,"Calle Caleruega, 39 28033 ",40.4789639,-3.6710542,21
42966,Dunkin' Coffee - Bravo Murillo,"Calle de Bravo Murillo, 151",28021,"Calle de Bravo Murillo, 151 28021 ",40.4512745,-3.7035316,27
83097,Vips - Islazul,"Calle Calderilla, 1,",28054,"Calle Calderilla, 1, 28054 ",40.3637278,-3.7374791,36
83935,Doli Indian Restaurante,Calle Diego de León 13,28006,Calle Diego de León 13 28006 ,40.4352562,-3.6839354,34
87600,"TGB AV FELIPE II, 16 (MADRID)",Avenida de Felipe II 16,28009,Avenida de Felipe II 16 28009 ,40.4239462,-3.6758254,26
87625,Kebab Antalia,Luisa Fernanda 10,28008,Luisa Fernanda 10 28008 ,40.4257536,-3.7151246,29
105813,TGB CC ISLAZUL (MADRID),"Calle Calderilla, 1",28054,"Calle Calderilla, 1 28054 ",40.3637278,-3.7374791,26
145586,Palacio de King,Plaza José Celestino Mutis 2,28522,Plaza José Celestino Mutis 2 28522 ,40.3544156,-3.5305956,26
149410,Manolo Bakes - Gran Vía de Hortaleza,"Avenida de la Gran Vía de Hortaleza, s/n Centro Comercial Carrefour",28043,"Avenida de la Gran Vía de Hortaleza, s/n Centro Comercial Carrefour 28043 ",40.4695711,-3.6410582,32
215175,Tasty Poké - Moncloa,"Calle de la Princesa, 98,",28008,"Calle de la Princesa, 98, 28008 ",40.4351999,-3.7186798,30
225948,Manolo Bakes - Moratalaz,"CC Moratalaz Alcampo, local 11. Calle Manuel Machado, 3",28030,"CC Moratalaz Alcampo, local 11. Calle Manuel Machado, 3 28030 ",40.4122764,-3.6605114,33
226793,KFC ALCORCON CC TRES AGUAS - Activo,"Centro Comercial Tres Aguas, Av. San Martín de Valdeiglesias, 20",28922,"Centro Comercial Tres Aguas, Av. San Martín de Valdeiglesias, 20 28922 ",40.3582862,-3.8318809,26
233381,Tienda 24 horas Filipinas,Av. de Filipinas 30,28003,Av. de Filipinas 30 28003 ,40.440427,-3.7085932,27
245545,McDonald's - Madrid Avenida Andalucía,"Av. de Andalucía, 19,",28041,"Av. de Andalucía, 19, 28041 ",40.3660035,-3.6937835,52
253012,McDonald's - Coslada,"Av. de San Pablo, 51,",28823,"Av. de San Pablo, 51, 28823 ",40.431344,-3.5329288,51
254960,80 Grados Malasaña,"Calle de Manuela Malasaña, 10",28004,"Calle de Manuela Malasaña, 10 28004 ",40.4287118,-3.7036391,39
255836,Vietnam restaurante,"Calle de Las Huertas, 4,",28012,"Calle de Las Huertas, 4, 28012 ",40.4139587,-3.7010965,28
23972,Vips - Miguel Ángel,"Calle Miguel Ángel, 11",28010,"Calle Miguel Ángel, 11 28010 ",40.4354525,-3.6915487,29
30486,Tasty,"Av. de Europa, 16",28224,"Av. de Europa, 16 28224 ",40.4373726,-3.7941799,31
40208,Vips - Majadahonda,"Plaza Colón, s/n",28220,"Plaza Colón, s/n 28220 ",40.4693862,-3.8707424,25
42889,Tao 3.6.9 La Moraleja,"Calle Begonia, 135",28109,"Calle Begonia, 135 28109 ",40.5221881,-3.6446216,23
59270,Arepa Olé - Bravo Murillo,"Bravo Murillo 224, 28020, Madrid",28020,"Bravo Murillo 224, 28020, Madrid 28020 ",40.4580627,-3.7007996,26
