name,priceRange,rating,reviewCount,postCode,Latitude,Longitude_x,Weekly orders,value
LaTagiatella Madrid,$$ - $$$,4.0,6,,40.4800101,-3.7074566,22,24.0
El Chingolo Pintxos y Raciones Estilo Gourmet,,4.5,12,28005.0,40.4137852,-3.7123766000000002,1,54.0
Taberna del Volapie Sanchinarro,$$ - $$$,4.0,8,28050.0,40.4938945,-3.6556303999999997,2,32.0
La Muralla,$,3.5,12,28031.0,40.3862152,-3.6089044,8,42.0
Healthy Poke Sandoval,$$ - $$$,5.0,2,28010.0,40.4302651,-3.7043066,2,10.0
Point Bistro,,5.0,2,28007.0,40.403842100000006,-3.6814087,3,10.0
La Divina,$,3.5,13,28004.0,40.4272414,-3.7020037000000006,17,45.5
Restaurante La Cortina,$$ - $$$,4.5,7,28036.0,40.4632104,-3.6879922999999994,37,31.5
La Zarzamora,$$ - $$$,3.5,20,28008.0,40.4248954,-3.7129334000000003,7,70.0
Market Cafe 24 Hrs,$,5.0,2,28015.0,40.4231899,-3.707697,2,10.0
El Cafetalito Bar,$,4.0,5,28045.0,40.4038336,-3.6962805,2,20.0
Restaurante De Jaleo - Calle Narvaez,$$ - $$$,3.5,28,28009.0,40.4217814,-3.6761712999999996,8,98.0
Ibex,$$ - $$$,4.0,7,28006.0,40.434041799999996,-3.6849006,13,28.0
El Rincon de Dali,$,3.5,22,28009.0,40.4243517,-3.6740681000000004,2,77.0
Heladeria Conico,,4.5,3,28032.0,40.4187285,-3.6209721,44,13.5
Elif Doner Kebab y Pizza,$,4.5,4,28039.0,40.4567,-3.7057934,4,18.0
Pablo of Madrid,,5.0,2,,40.4167754,-3.7037902000000003,10,10.0
Food King,$,4.5,7,28014.0,40.4136068,-3.698618,4,31.5
Slchchs,,4.5,4,28050.0,40.5086201,-3.6670852999999997,57,18.0
Baco Bar Restaurante,,4.0,8,28043.0,40.4679877,-3.6473982000000005,2,32.0
La Torino Restaurante Parrilla,$$ - $$$,3.5,9,28042.0,40.4736684,-3.5783824999999996,3,31.5
Las Maribelas,$,4.5,4,28050.0,40.5062541,-3.6565017,2,18.0
Churreria Siglo XIX,$,3.5,19,28018.0,40.387130600000006,-3.6402422999999997,6,66.5
Indalo Tapas Princesa,$,3.0,81,28008.0,40.4248954,-3.7129334000000003,7,243.0
Ariani Patisserie,$$ - $$$,5.0,2,28020.0,40.4492187,-3.7027246,3,10.0
Restaurante Tao,,4.0,6,28023.0,40.5186645,-3.6553541,7,24.0
Il Tempietto Mazzo,$$ - $$$,3.5,88,28054.0,40.363375899999994,-3.7389514999999998,42,308.0
Restaurante Ikono,$$$$,4.0,15,28003.0,40.446187,-3.700025,2,60.0
La Villa Bar,,4.0,4,28013.0,40.420168200000006,-3.7002443,10,16.0
La Francerie,$,3.5,20,28015.0,40.4340185,-3.7046841,14,70.0
El Rincon De Las Tapas,$,3.5,30,28012.0,40.4094376,-3.6933107000000005,62,105.0
Mc Donald's Plaza Castilla,,4.0,4,28029.0,40.4675331,-3.6898324000000002,19,16.0
Nemrut Las Tablas,$,3.5,15,28050.0,40.5061815,-3.6656222,16,52.5
Pepe Taco,$,3.5,8,28012.0,40.416074200000004,-3.7058138999999994,3,28.0
Benito Aperitivos & Kitchen,$$ - $$$,4.0,7,28012.0,40.4115963,-3.6986769999999995,6,28.0
PizzERA,$$ - $$$,3.5,6,28050.0,40.5047992,-3.6714432,3,21.0
Honest Greens Serrano,$$ - $$$,4.5,2,28001.0,40.4285275,-3.6875762,4,9.0
Fit Fat Food,,4.0,4,28015.0,40.4256715,-3.7073747999999997,2,16.0
AMICCI bar and restaurant,$$ - $$$,5.0,2,28002.0,40.4536997,-3.6993519,2,10.0
Sushi Master Moncloa,$$ - $$$,3.5,70,28015.0,40.4338482,-3.7174506000000003,8,245.0
La Racion,,4.0,4,28006.0,40.435986,-3.6822315000000003,12,16.0
WOK,$$ - $$$,3.5,15,28009.0,40.4217369,-3.6765176,8,52.5
Restaurante El Gaitero,$$ - $$$,3.5,21,28015.0,40.423839799999996,-3.7091151,4,73.5
Domino,,4.5,3,28004.0,40.4248706,-3.7020726,102,13.5
Beykebap,$,3.5,10,28051.0,40.3690139,-3.5990357000000004,50,35.0
Pizza mirasierra,$$ - $$$,4.5,2,28026.0,40.3883453,-3.7036732000000003,19,9.0
La Sabina,$$ - $$$,3.0,76,28023.0,40.4650446,-3.7864239,6,228.0
Restaurante Las Bridas,$$ - $$$,3.0,35,28003.0,40.4382466,-3.6924561000000002,2,105.0
Restaurante Nu,,4.0,6,28036.0,40.4610953,-3.6881004,1,24.0
Maria Canela,$,3.5,30,28010.0,40.43163679999999,-3.7021812999999995,10,105.0
Ciento y pico de goya,,4.5,3,,40.4248074,-3.6718707000000004,20,13.5
Faborit Orense,,3.5,9,28020.0,40.450857899999995,-3.6947105000000002,4,31.5
Heladeria Palazzo - Italian Ice Cream,,4.5,2,,40.4201088,-3.7127343,2,9.0
El Gourmet de Olmedo,,4.0,6,28006.0,40.434041799999996,-3.6849006,13,24.0
Mama Teresa Hot Dog & Burger,$,3.5,6,28045.0,40.4038336,-3.6962805,2,21.0
Faraguallas,,4.5,3,28014.0,40.411477500000004,-3.6956781000000003,7,13.5
La Tostaderia de Altamira,,4.0,6,28029.0,40.4740594,-3.7070241999999998,1,24.0
Root Restaurante,$$ - $$$,4.5,6,,40.4181211,-3.6996101,15,27.0
Indian Food,,4.5,2,28014.0,40.415254499999996,-3.6991146,4,9.0
