name,priceRange,rating,reviewCount,address,postCode,locality,url
Yambala,$$ - $$$,4.0,65,Calle Coloreros n 4,28013,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d7305400-Reviews-Yambala-Madrid.html
El Cangrejero,$$ - $$$,4.0,47,Calle Amaniel 25,28015,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d697531-Reviews-El_Cangrejero-Madrid.html
El Templo del Placer,$$ - $$$,4.0,58,Calle Atocha 125,28014,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d7713214-Reviews-El_Templo_del_Placer-Madrid.html
Asador Imanol Gourmet Experience,$$ - $$$,3.5,81,Plaza Callao 2 9a Planta Dentro del Corte Inglés de Callao,28013,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d7253691-Reviews-Asador_Imanol_Gourmet_Experience-Madrid.html
El Pezcador,$,4.0,227,Calle Infantas 9,28004,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d2198466-Reviews-El_Pezcador-Madrid.html
Las Muns Calle Mayor,$,5.0,12,Calle Mayor 42,28013,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d19113448-Reviews-Las_Muns_Calle_Mayor-Madrid.html
Nebak Jatetxea Madrid,$$$$,5.0,88,Calle Zorrilla 11,28014,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d19740783-Reviews-Nebak_Jatetxea_Madrid-Madrid.html
La Antoja,$$ - $$$,4.5,32,Calle Palafox 1 Metro Bilbao,28010,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d5776279-Reviews-La_Antoja-Madrid.html
Entre Santos Madrid,$$ - $$$,5.0,677,Calle de San Bartolome 4,28004,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d14062978-Reviews-Entre_Santos_Madrid-Madrid.html
El Gordo de Velazquez,$$ - $$$,3.5,547,Calle Velazquez 80 Calle Velazquez 80 esquina Ortega y Gasset,28001,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d7818396-Reviews-El_Gordo_de_Velazquez-Madrid.html
Gymage Terrace,$$ - $$$,3.5,1177,Calle de la Luna 2,28004,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d6762649-Reviews-Gymage_Terrace-Madrid.html
La Casa del Abuelo,$$ - $$$,3.5,95,Calle de Goya 57,28001,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d11804164-Reviews-La_Casa_del_Abuelo-Madrid.html
Mo De Movimiento,,4.0,33,Calle Espronceda 34,28003,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d21166411-Reviews-Mo_De_Movimiento-Madrid.html
