name,Weekly orders
Terraza Aeroclub,25.0
Txistu,25.0
La Caleta,25.0
Restaurante La Gaditana,25.0
Ppizza,25.0
Bar - Cafeteria Jimenez,25.0
Bar La Antigua,25.0
La Favorita,25.0
Restaurante Los ALCES,25.0
Socarratt Valencian Food,25.0
Pizzie & Dixie,25.0
Asador Gainza,25.0
El Paladar,25.0
The Rhum Bar,25.0
Taberna La Mona,25.0
Pizza Bistro,25.0
Taberna Degusta,25.0
Sublime Dreams Food - Plaza Mayor,25.0
El Brote,25.0
Bar Mundi,25.0
Papizza Bravo Murillo,25.0
Restaurante Las Fuentes,25.0
Costello Rio,25.0
La Terraza de Fenelon,25.0
Brasas,25.0
Reginella,25.0
Kintaro,25.0
L.A Sushi,25.0
obrador LA CASITA DE CARLOTA,25.0
Pani&Pasta,25.0
Gastrobar Rosales 36,25.0
La tortilla de Senen,24.0
Pan Familiar,24.0
Cafeteria Churreria Legazpi,24.0
Bresca,24.0
Terrazas del Manzanares,24.0
Song city,24.0
Wagaboo Ayala,24.0
Hawaii,24.0
New Istambul,24.0
El Rey de los Tallarines,24.0
Beefcious Valdebebas,24.0
Restaurante Tipika,24.0
Cerveceria Gambrinus,24.0
Calcuta,24.0
Vergara 97,24.0
Tablao Flamenco Villa Rosa,24.0
Bocata Food & Food,24.0
Red Roo Australian Restaurant,24.0
El Padrino,24.0
